,sentiment_analysis,developer,release_date
3905,2,FireFly Studios,2014
3906,1,FireFly Studios,2014
3907,2,FireFly Studios,2014
3246,2,Fishing Planet LLC,2015
1363,1,Fistful of Frags Team,2014
1364,2,Fistful of Frags Team,2014
1365,1,Fistful of Frags Team,2014
1366,2,Fistful of Frags Team,2014
1367,1,Fistful of Frags Team,2014
1368,1,Fistful of Frags Team,2014
1369,1,Fistful of Frags Team,2014
1370,2,Fistful of Frags Team,2014
1371,2,Fistful of Frags Team,2014
1372,2,Fistful of Frags Team,2014
1373,1,Fistful of Frags Team,2014
1374,1,Fistful of Frags Team,2014
5242,2,"Flashback Games,The Lordz Games Studio",2011
3628,1,Flox Studios Ltd.,2016
4326,1,FlyAnvil,2016
4714,2,Flying Cafe for Semianimals,2015
3615,2,Flying Wild Hog,2012
3616,2,Flying Wild Hog,2012
3617,2,Flying Wild Hog,2012
4148,2,Flying Wild Hog,2013
4149,2,Flying Wild Hog,2013
4150,0,Flying Wild Hog,2013
4151,2,Flying Wild Hog,2013
4152,2,Flying Wild Hog,2013
4153,2,Flying Wild Hog,2013
4154,2,Flying Wild Hog,2013
3123,2,Forever Entertainment S. A.,2015
4638,0,"Fortress Forever Development Team,Trepid Studios",2007
4671,2,Four Quarters,2015
2976,1,Freakinware Studios,2015
2977,1,Freakinware Studios,2015
4867,0,Free Lives,2014
4868,2,Free Lives,2014
4281,1,Free Lives,2015
4282,2,Free Lives,2015
4283,0,Free Lives,2015
4284,2,Free Lives,2015
4285,2,Free Lives,2015
4669,2,Free Reign Entertainment,2015
2190,0,Freebird Games,2011
2191,2,Freebird Games,2011
2192,1,Freebird Games,2011
2193,1,Freebird Games,2011
2194,1,Freebird Games,2011
2195,1,Freebird Games,2011
2196,0,Freebird Games,2011
5265,2,Freebird Games,2014
1657,0,Freejam,2017
1658,1,Freejam,2017
1659,2,Freejam,2017
1660,2,Freejam,2017
1661,2,Freejam,2017
1662,1,Freejam,2017
1663,2,Freejam,2017
1664,1,Freejam,2017
1665,2,Freejam,2017
1666,2,Freejam,2017
1667,2,Freejam,2017
1668,2,Freejam,2017
1669,1,Freejam,2017
1670,1,Freejam,2017
1671,2,Freejam,2017
1672,0,Freejam,2017
1673,1,Freejam,2017
1674,1,Freejam,2017
1675,2,Freejam,2017
1676,0,Freejam,2017
1677,1,Freejam,2017
1678,2,Freejam,2017
1679,0,Freejam,2017
1680,2,Freejam,2017
1681,1,Freejam,2017
1682,2,Freejam,2017
1683,0,Freejam,2017
1684,0,Freejam,2017
1685,2,Freejam,2017
1686,1,Freejam,2017
1687,0,Freejam,2017
5236,2,Frictional Games,2007
4984,0,Frictional Games,2009
4985,2,Frictional Games,2009
615,1,Frictional Games,2010
616,1,Frictional Games,2010
617,1,Frictional Games,2010
618,1,Frictional Games,2010
619,2,Frictional Games,2010
3451,1,Frictional Games,2015
3452,0,Frictional Games,2015
3550,1,Frogames,2008
4613,2,Frogshark,2016
5123,2,Frogwares,2014
5,0,FromSoftware,2012
6,0,FromSoftware,2012
7,0,FromSoftware,2012
8,0,FromSoftware,2012
9,1,FromSoftware,2012
10,2,FromSoftware,2012
11,0,FromSoftware,2012
12,1,FromSoftware,2012
13,0,FromSoftware,2012
14,0,FromSoftware,2012
15,1,FromSoftware,2012
16,0,FromSoftware,2012
17,0,FromSoftware,2012
18,1,FromSoftware,2012
19,2,FromSoftware,2012
20,1,FromSoftware,2012
21,2,FromSoftware,2012
22,1,FromSoftware,2012
23,1,FromSoftware,2012
24,1,FromSoftware,2012
4651,0,"FromSoftware, Inc",2014
4652,1,"FromSoftware, Inc",2014
4653,2,"FromSoftware, Inc",2014
4654,0,"FromSoftware, Inc",2014
4655,1,"FromSoftware, Inc",2014
4656,0,"FromSoftware, Inc",2014
4657,2,"FromSoftware, Inc",2014
4302,2,"FromSoftware, Inc.",2016
4303,2,"FromSoftware, Inc.",2016
4304,0,"FromSoftware, Inc.",2016
4305,2,"FromSoftware, Inc.",2016
4306,2,"FromSoftware, Inc.",2016
4307,2,"FromSoftware, Inc.",2016
4308,1,"FromSoftware, Inc.",2016
4330,1,Frozenbyte,2009
4300,2,Frozenbyte,2013
4245,2,Full Control Studios,2013
3118,2,Fullbright,2013
3119,0,Fullbright,2013
3120,2,Fullbright,2013
3121,2,Fullbright,2013
3122,1,Fullbright,2013
4753,2,Funcom,2000
4751,0,Funcom,2015
4623,1,Funcom,2017
4624,2,Funcom,2017
4526,2,"Funselektor Labs Inc.,FlippFly",2015
5102,1,Futuremark,2015
4274,1,GNISoft,2016
5222,2,GSC Game World,2008
5271,2,GSC Game World,2010
4389,2,Gaijin Games,2011
4390,2,Gaijin Games,2011
4391,1,Gaijin Games,2011
4392,1,Gaijin Games,2011
3547,1,Gaijin Games,2013
3548,1,Gaijin Games,2013
3549,2,Gaijin Games,2013
2330,1,Galactic Cafe,2013
2331,2,Galactic Cafe,2013
2332,0,Galactic Cafe,2013
2333,0,Galactic Cafe,2013
2334,1,Galactic Cafe,2013
2335,2,Galactic Cafe,2013
2336,0,Galactic Cafe,2013
4926,2,GalaxyTrail,2014
3713,2,Game Mechanics,2016
4592,1,"GameConnect,InterWave Studios",2011
4593,1,"GameConnect,InterWave Studios",2011
4708,2,GamePrix,2014
3190,2,Gamepires,2013
3696,0,Ganz,2014
3697,1,Ganz,2014
5128,1,Gas Powered Games,2005
5129,2,Gas Powered Games,2005
5201,1,Gas Powered Games,2007
5144,1,Gas Powered Games,2010
4893,2,Gas Powered Games,2011
4894,2,Gas Powered Games,2011
4559,1,Gearbox Software,1999
1574,2,Gearbox Software,2001
4676,2,Gearbox Software,2009
4677,1,Gearbox Software,2009
4612,0,Gearbox Software,2016
2908,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2909,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2910,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2911,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2912,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2913,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2914,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2915,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2916,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2917,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2918,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2919,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2920,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2921,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2922,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2923,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2924,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2925,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2926,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2927,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2928,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2929,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2930,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2931,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2932,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2933,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2934,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2935,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2936,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2937,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2938,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2939,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2940,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2941,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2942,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2943,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2944,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2945,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2946,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2947,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2948,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2949,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2950,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2951,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2952,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2953,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2954,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2955,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2956,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2957,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2958,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2959,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2960,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2961,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2962,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2963,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2964,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2965,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
2966,0,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
3711,1,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
5130,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2012
4774,2,"Gearbox Software,Aspyr (Mac &amp; Linux)",2013
5056,2,"Gearbox Software,Aspyr (Mac)",2015
5057,1,"Gearbox Software,Aspyr (Mac)",2015
4699,2,Ghost Town Games Ltd.,2016
5175,2,GhostShark,2015
5176,1,GhostShark,2015
4964,2,Giants Software,2013
5209,2,Giants Software,2014
3302,2,Going Loud Studios,2013
3303,0,Going Loud Studios,2013
3304,1,Going Loud Studios,2013
3305,1,Going Loud Studios,2013
3306,2,Going Loud Studios,2013
4998,0,GolemLabs,2004
4273,2,Gone North Games,2014
1386,2,Gone North Games,2015
3712,2,Good Games,2014
3103,1,"Gravity, Inc.",2013
5122,1,"Gravvit Ltd,Forbes  Consult Ltd",2014
2984,1,Greenheart Games,2013
2985,1,Greenheart Games,2013
2986,0,Greenheart Games,2013
2987,2,Greenheart Games,2013
2988,1,Greenheart Games,2013
2989,2,Greenheart Games,2013
2990,1,Greenheart Games,2013
2991,0,Greenheart Games,2013
2992,2,Greenheart Games,2013
2993,2,Greenheart Games,2013
2994,2,Greenheart Games,2013
2995,2,Greenheart Games,2013
2996,2,Greenheart Games,2013
2997,2,Greenheart Games,2013
5235,2,Gremlin Interactive,1996
3750,1,Grey Havens,2011
3751,0,Grey Havens,2011
3752,2,Grey Havens,2011
3753,1,Grey Havens,2011
3754,1,Grey Havens,2011
3755,0,Grey Havens,2011
3756,2,Grey Havens,2011
3757,2,Grey Havens,2011
3758,1,Grey Havens,2011
3759,1,Grey Havens,2011
3760,1,Grey Havens,2011
3761,1,Grey Havens,2011
3762,1,Grey Havens,2011
3763,2,Grey Havens,2011
3764,2,Grey Havens,2011
3765,2,Grey Havens,2011
3766,2,Grey Havens,2011
3767,0,Grey Havens,2011
3768,2,Grey Havens,2011
3769,1,Grey Havens,2011
5205,0,Haemimont Games,2010
4263,2,Haemimont Games,2011
4264,2,Haemimont Games,2011
2648,2,Haemimont Games,2014
2649,2,Haemimont Games,2014
2650,1,Haemimont Games,2014
4472,2,Hammerfall Publishing,2015
4621,2,Hanako Games,2013
4622,0,Hanako Games,2013
5243,1,Handyman Studios,2015
3209,2,Hardsuit Labs,2012
3210,2,Hardsuit Labs,2012
3211,1,Hardsuit Labs,2012
3212,2,Hardsuit Labs,2012
3213,2,Hardsuit Labs,2012
3214,2,Hardsuit Labs,2012
3215,1,Hardsuit Labs,2012
3216,0,Hardsuit Labs,2012
3217,1,Hardsuit Labs,2012
3218,1,Hardsuit Labs,2012
3219,0,Hardsuit Labs,2012
3220,2,Hardsuit Labs,2012
3221,0,Hardsuit Labs,2012
5262,1,Harebrained Schemes,2013
4515,0,Harebrained Schemes,2016
4516,2,Harebrained Schemes,2016
5256,1,"Hassey Enterprises, Inc.",2012
3734,1,"Hassey Enterprises, Inc.",2014
3319,2,Hello Games,2016
3320,1,Hello Games,2016
3321,1,Hello Games,2016
3322,2,Hello Games,2016
3323,1,Hello Games,2016
3324,2,Hello Games,2016
3325,0,Hello Games,2016
3326,1,Hello Games,2016
3327,2,Hello Games,2016
3328,2,Hello Games,2016
3329,2,Hello Games,2016
3330,0,Hello Games,2016
3331,1,Hello Games,2016
3332,0,Hello Games,2016
3333,1,Hello Games,2016
3334,0,Hello Games,2016
3335,0,Hello Games,2016
3336,0,Hello Games,2016
3337,2,Hello Games,2016
3338,2,Hello Games,2016
5190,2,Hello There AB,2015
4536,1,Heydeck Games,2013
3705,1,Hi-Rez Studios,2012
3706,1,Hi-Rez Studios,2012
3707,1,Hi-Rez Studios,2012
3708,1,Hi-Rez Studios,2012
3832,1,Hi-Rez Studios,2015
3833,1,Hi-Rez Studios,2015
3834,1,Hi-Rez Studios,2015
3835,2,Hi-Rez Studios,2015
3836,2,Hi-Rez Studios,2015
3837,1,Hi-Rez Studios,2015
3838,2,Hi-Rez Studios,2015
4016,1,Hi-Rez Studios,2016
4017,1,Hi-Rez Studios,2016
4713,2,Hidden Path Entertainment,2008
4813,1,Hidden Path Entertainment,2014
2203,0,Hinterland Studio Inc.,2017
2204,1,Hinterland Studio Inc.,2017
2205,1,Hinterland Studio Inc.,2017
2206,1,Hinterland Studio Inc.,2017
2207,1,Hinterland Studio Inc.,2017
2208,0,Hinterland Studio Inc.,2017
2209,2,Hinterland Studio Inc.,2017
3250,2,Hippomancer,2014
5141,2,Holotech Studios,2014
3606,2,Holotech Studios,2015
3607,2,Holotech Studios,2015
2628,1,Hoobalugalar_X,2017
2629,1,Hoobalugalar_X,2017
2630,2,Hoobalugalar_X,2017
2631,2,Hoobalugalar_X,2017
2632,2,Hoobalugalar_X,2017
2633,1,Hoobalugalar_X,2017
3003,1,"Hopoo Games, LLC",2013
3004,2,"Hopoo Games, LLC",2013
3005,2,"Hopoo Games, LLC",2013
3006,2,"Hopoo Games, LLC",2013
3007,2,"Hopoo Games, LLC",2013
3008,2,"Hopoo Games, LLC",2013
3009,2,"Hopoo Games, LLC",2013
3010,2,"Hopoo Games, LLC",2013
3011,0,"Hopoo Games, LLC",2013
3012,1,"Hopoo Games, LLC",2013
4729,2,Hosted Games,2015
4700,2,Humble Hearts LLC,2013
4701,1,Humble Hearts LLC,2013
4702,2,Humble Hearts LLC,2013
4703,1,Humble Hearts LLC,2013
4704,2,Humble Hearts LLC,2013
4705,0,Humble Hearts LLC,2013
3703,1,Humongous Entertainment,1994
5034,2,Humongous Entertainment,1996
4395,0,Humongous Entertainment,1997
4247,2,HuniePot,2015
4248,1,HuniePot,2015
4249,1,HuniePot,2015
4250,2,HuniePot,2015
4134,2,Hunted Cow Studios,2014
2798,2,Hyper Hippo Games,2015
2799,2,Hyper Hippo Games,2015
2800,1,Hyper Hippo Games,2015
2801,1,Hyper Hippo Games,2015
2802,2,Hyper Hippo Games,2015
2803,1,Hyper Hippo Games,2015
2804,1,Hyper Hippo Games,2015
2805,1,Hyper Hippo Games,2015
2806,1,Hyper Hippo Games,2015
2807,1,Hyper Hippo Games,2015
2808,1,Hyper Hippo Games,2015
2809,2,Hyper Hippo Games,2015
2810,1,Hyper Hippo Games,2015
2811,2,Hyper Hippo Games,2015
2812,1,Hyper Hippo Games,2015
4942,1,"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd.",2015
4943,2,"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd.",2015
4944,2,"IDEA FACTORY Co., Ltd.,COMPILE HEART Co., Ltd.,FELISTELLA Co., Ltd.",2015
4977,1,"IMCGAMES Co.,Ltd.",2016
4610,2,IO Interactive,2007
3923,2,IO Interactive,2010
3924,2,IO Interactive,2010
4745,2,"IO Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",2016
4746,2,"IO Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",2016
4747,1,"IO Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)",2016
5200,2,IPACS,2012
3536,2,Ice Water Games,2015
3537,0,Ice Water Games,2015
3538,1,Ice Water Games,2015
2316,1,Icetesy SPRL,2016
2317,1,Icetesy SPRL,2016
4940,2,Image &amp; Form,2013
4581,0,Infinite Interactive,2007
2559,0,Infinity Ward,2014
2560,0,Infinity Ward,2014
2561,2,Infinity Ward,2014
2562,0,Infinity Ward,2014
2563,2,Infinity Ward,2014
2564,2,Infinity Ward,2014
2565,1,Infinity Ward,2014
2566,2,Infinity Ward,2014
2567,1,Infinity Ward,2014
2568,0,Infinity Ward,2014
2569,1,Infinity Ward,2014
5252,1,"Infinity Ward,Aspyr (Mac)",2007
3871,1,"Infinity Ward,Aspyr (Mac)",2009
3872,2,"Infinity Ward,Aspyr (Mac)",2009
3873,2,"Infinity Ward,Aspyr (Mac)",2009
3874,2,"Infinity Ward,Aspyr (Mac)",2009
3875,2,"Infinity Ward,Aspyr (Mac)",2009
3876,1,"Infinity Ward,Aspyr (Mac)",2009
3877,2,"Infinity Ward,Aspyr (Mac)",2009
3878,0,"Infinity Ward,Aspyr (Mac)",2009
3879,0,"Infinity Ward,Aspyr (Mac)",2009
3880,2,"Infinity Ward,Aspyr (Mac)",2009
3881,1,"Infinity Ward,Aspyr (Mac)",2009
3247,2,Instant Kingdom,2003
4270,2,Interceptor Entertainment,2013
5279,1,Interplay Inc.,1997
4833,2,Introversion Software,2006
4951,1,Introversion Software,2006
2636,1,Introversion Software,2015
2637,1,Introversion Software,2015
2638,0,Introversion Software,2015
2639,2,Introversion Software,2015
2640,2,Introversion Software,2015
2641,2,Introversion Software,2015
2642,0,Introversion Software,2015
2643,1,Introversion Software,2015
2644,1,Introversion Software,2015
2645,2,Introversion Software,2015
2646,2,Introversion Software,2015
2647,2,Introversion Software,2015
2705,1,Invent4 Entertainment,2009
2706,1,Invent4 Entertainment,2009
2707,1,Invent4 Entertainment,2009
2708,1,Invent4 Entertainment,2009
2709,0,Invent4 Entertainment,2009
2710,1,Invent4 Entertainment,2009
2711,2,Invent4 Entertainment,2009
2712,0,Invent4 Entertainment,2009
2713,0,Invent4 Entertainment,2009
2714,2,Invent4 Entertainment,2009
2715,2,Invent4 Entertainment,2009
2716,2,Invent4 Entertainment,2009
2717,1,Invent4 Entertainment,2009
2718,1,Invent4 Entertainment,2009
5001,2,InvertMouse,2015
5002,2,InvertMouse,2015
5009,1,InvertMouse,2015
5173,0,Io-Interactive A/S,2002
4673,2,Io-Interactive A/S,2006
1375,2,"Io-Interactive A/S,Feral Interactive (Mac)",2012
1376,2,"Io-Interactive A/S,Feral Interactive (Mac)",2012
1377,2,"Io-Interactive A/S,Feral Interactive (Mac)",2012
1378,2,"Io-Interactive A/S,Feral Interactive (Mac)",2012
1379,2,"Io-Interactive A/S,Feral Interactive (Mac)",2012
1380,1,"Io-Interactive A/S,Feral Interactive (Mac)",2012
5237,2,IonFX,2009
4693,2,Iron Tower Studio,2015
4694,2,Iron Tower Studio,2015
3398,2,"Ironclad Games,Stardock Entertainment",2012
3399,2,"Ironclad Games,Stardock Entertainment",2012
2023,2,Ironhide Game Studio,2014
2024,2,Ironhide Game Studio,2014
2025,0,Ironhide Game Studio,2014
1448,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1449,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1450,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1451,0,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1452,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1453,0,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1454,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1455,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1456,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1457,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1458,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1459,0,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1460,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1461,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1462,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1463,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1464,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1465,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1466,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1467,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1468,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1469,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1470,0,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1471,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1472,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1473,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1474,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
1475,2,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013
4712,1,"Irrational Games,Looking Glass Studios",1999
5126,1,Ivory Tower in collaboration with Ubisoft Reflections,2014
5127,1,Ivory Tower in collaboration with Ubisoft Reflections,2014
4891,2,JDM4iK,2015
4892,2,JDM4iK,2015
4863,1,JForce Games,2014
4864,2,JForce Games,2014
3055,2,Jagex Limited,2012
3056,1,Jagex Limited,2012
3057,0,Jagex Limited,2012
3058,1,Jagex Limited,2012
3059,1,Jagex Limited,2012
3060,1,Jagex Limited,2012
3061,2,Jagex Limited,2012
3062,1,Jagex Limited,2012
3063,2,Jagex Limited,2012
3064,2,Jagex Limited,2012
3065,2,Jagex Limited,2012
3066,2,Jagex Limited,2012
3067,2,Jagex Limited,2012
3068,0,Jagex Limited,2012
3069,1,Jagex Limited,2012
3070,1,Jagex Limited,2012
2118,1,"Jagex,Artplant",2015
2119,0,"Jagex,Artplant",2015
2120,1,"Jagex,Artplant",2015
2121,2,"Jagex,Artplant",2015
2122,1,"Jagex,Artplant",2015
2123,2,"Jagex,Artplant",2015
2124,1,"Jagex,Artplant",2015
4721,0,JetCat Games,2017
4523,2,"Jetdogs Studios,Zoom Out Games",2015
4648,0,Johannes Eski,2015
4649,2,Johannes Eski,2015
4015,1,Jonathan Wood,2016
1645,0,Joycity,2015
1646,1,Joycity,2015
1647,1,Joycity,2015
4798,1,Jujubee S.A.,2014
4513,0,"JumpStart Games, Inc.",2014
4933,1,"Jundroo, LLC",2015
4,1,KADOKAWA,2012
5214,1,KADOKAWA,2015
3428,1,KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,2014
4874,2,KHB-Soft,2016
5041,1,"KOEI TECMO GAMES CO., LTD.",2014
4853,0,"KOEI TECMO GAMES CO., LTD.",2015
4880,1,KOG,2014
4881,2,KOG,2014
4882,2,KOG,2014
5098,0,"Kaos Studios,Digital Extremes",2011
5274,0,Katapult,2016
5161,2,Keen Games,2014
4009,2,Keen Software House,2015
4010,1,Keen Software House,2015
4011,2,Keen Software House,2015
5169,1,Keinart Lobre,2016
4008,2,Kerberos Productions Inc.,2008
4615,0,Kinelco &amp; Lone Elk Creative,2014
4411,2,Kitfox Games,2016
5084,1,Klei Entertainment,2012
5085,2,Klei Entertainment,2012
5121,2,Klei Entertainment,2014
1971,2,Klei Entertainment,2016
1972,2,Klei Entertainment,2016
1973,2,Klei Entertainment,2016
1974,2,Klei Entertainment,2016
1975,1,Klei Entertainment,2016
1976,2,Klei Entertainment,2016
1977,2,Klei Entertainment,2016
1978,1,Klei Entertainment,2016
1979,2,Klei Entertainment,2016
1980,2,Klei Entertainment,2016
1981,1,Klei Entertainment,2016
1982,2,Klei Entertainment,2016
1983,2,Klei Entertainment,2016
1984,1,Klei Entertainment,2016
1985,0,Klei Entertainment,2016
5184,1,Kloonigames,2009
4931,2,Kojima Productions,2014
2664,2,Konami Digital Entertainment,2015
2665,0,Konami Digital Entertainment,2015
2666,0,Konami Digital Entertainment,2015
2667,0,Konami Digital Entertainment,2015
5107,1,Konstantin Koshutin,2009
5108,2,Konstantin Koshutin,2009
2978,1,Krillbite Studio,2013
2979,0,Krillbite Studio,2013
2980,2,Krillbite Studio,2013
2981,1,Krillbite Studio,2013
2982,2,Krillbite Studio,2013
2983,2,Krillbite Studio,2013
4525,2,Krillbite Studio,2017
5012,2,Krome Studios,2016
5219,0,Kronosaur Productions,2015
3251,2,Kyle Seeley,2015
3252,1,Kyle Seeley,2015
3253,1,Kyle Seeley,2015
3254,1,Kyle Seeley,2015
3255,1,Kyle Seeley,2015
3256,0,Kyle Seeley,2015
3257,1,Kyle Seeley,2015
3258,1,Kyle Seeley,2015
3259,2,Kyle Seeley,2015
3260,1,Kyle Seeley,2015
3261,2,Kyle Seeley,2015
3262,1,Kyle Seeley,2015
3263,1,Kyle Seeley,2015
3264,2,Kyle Seeley,2015
3265,1,Kyle Seeley,2015
3266,2,Kyle Seeley,2015
3267,1,Kyle Seeley,2015
3268,0,Kyle Seeley,2015
3269,1,Kyle Seeley,2015
3270,2,Kyle Seeley,2015
5280,1,Kylotonn Entertainment,2013
2359,0,Kylotonn Racing Games,2015
4814,2,LUCKY GIRLS LIMITED,2015
4041,1,Lab Zero Games,2013
4042,1,Lab Zero Games,2013
4043,1,Lab Zero Games,2013
4044,0,Lab Zero Games,2013
4045,1,Lab Zero Games,2013
4046,1,Lab Zero Games,2013
4047,2,Lab Zero Games,2013
4048,1,Lab Zero Games,2013
4049,0,Lab Zero Games,2013
4050,2,Lab Zero Games,2013
4630,1,Lab Zero Games,2014
4979,0,Lag Studios,2015
4980,2,Lag Studios,2015
5259,2,Last Day of Work,2007
4959,2,Legend Studio,2014
4524,0,Lesley Dodd,2015
4580,1,"Level Up Labs, LLC",2012
4373,2,Lightmare Studio,2014
4925,1,Lightmare Studios,2014
4508,2,Lino Slahuschek,2016
4509,1,Lino Slahuschek,2016
4645,2,Lion's Shade,2013
4663,2,Lionhead Studios,2011
4664,2,Lionhead Studios,2011
4496,2,Lionhead Studios,2014
4497,1,Lionhead Studios,2014
4498,2,Lionhead Studios,2014
4983,2,Lord Kres,2015
5047,2,Love Conquers All Games,2012
4752,1,"Luc Bernard,SilverSphereStudios",2008
4866,2,LucasArts,1998
4932,0,LucasArts,2005
4371,2,"LucasArts,Aspyr Studios",2009
3627,2,"Ludosity,Remar Games",2014
4346,1,Lukewarm Media,2012
3791,1,"M2H,Blackmill Games",2015
3792,2,"M2H,Blackmill Games",2015
3793,2,"M2H,Blackmill Games",2015
3794,0,"M2H,Blackmill Games",2015
3795,1,"M2H,Blackmill Games",2015
3796,2,"M2H,Blackmill Games",2015
